エリア分類,エリア小分類,ゴルフコース名,緯度,経度
,,那須野ヶ原カントリークラブ,36.85084094,140.0861355
,,ロペ倶楽部,36.7437924,139.9088202
,,鬼怒川カントリークラブ,36.7737988,139.7199684
,,塩原カントリークラブ,36.9632758,139.9322599
,栃木（真岡・茂木・高根沢・烏山）,ましこゴルフ倶楽部,36.4884358,140.1468925
,,益子ヒルズゴルフクラブ,36.497719,140.1258487
,,関東国際カントリークラブ,36.5431286,140.136379
,,希望丘カントリークラブ,36.4514008,140.1785034
,,益子カントリー倶楽部,36.4625701,140.141275
,,風月カントリー倶楽部,36.6750601,140.1375132
,,ロイヤルメドウゴルフ倶楽部,36.59731299,140.0813045
,,烏山城カントリークラブ,36.70975527,140.1423988
,,紫塚ゴルフ倶楽部,36.6987982,140.0201263
,,喜連川カントリー倶楽部,36.7594211,140.0572933
,栃木（足利・佐野・栃木市・小山）,大平台カントリークラブ,36.3731788,139.6773902
,,ひととのやカントリー倶楽部,36.2780489,139.8023956
,,エヴァンタイユゴルフクラブ,36.365678,139.6639032
,,ゴールド佐野カントリークラブ,36.3844027,139.5592298
,,アパリゾート栃木の森ゴルフコース,36.4520887,139.6639601
,,プレステージカントリークラブ,36.4348876,139.6933192
,,鷹ゴルフ倶楽部,36.4929021,139.6940455
,,皆川城カントリークラブ,36.4020348,139.6810278
,栃木（日光・那須塩原・矢板・大田原）,那須小川ゴルフクラブ,36.7504522,140.095019
,,サンレイクカントリークラブ,36.6639416,139.6928234
,,矢板カントリークラブ,36.8665477,139.8949182
,,ホウライカントリー倶楽部,36.9454324,139.9193043
,,メイフラワーゴルフクラブ,36.8820744,139.9049488
,,那須野ヶ原カントリークラブ,36.85086669,140.0862321
,,ロペ倶楽部,36.7437924,139.9088202
,,鬼怒川カントリークラブ,36.7737988,139.7199684
,,塩原カントリークラブ,36.9632758,139.9322599
,群馬（前橋・伊香保・桐生・みなかみ・太田）,赤城カントリー倶楽部,36.46462235,139.232034
,,群馬カントリークラブ,36.668171,138.9513987
,,関越ゴルフ倶楽部 中山コース,36.6394446,138.9285173
,,伊香保国際カンツリークラブ,36.5112535,138.943346
,,水上高原ゴルフコース,36.85551532,139.0761216
,,初穂カントリークラブ,36.6716316,139.1318623
,,伊香保ゴルフ倶楽部,36.5259014,138.9160868
,,ノーザンカントリークラブ 上毛ゴルフ場,36.5963312,138.9649885
,,ゴルフクラブ　スカイリゾート,36.68492899,139.1604781
,群馬（高崎・安中・藤岡・富岡・玉村）,メイレイクヒルズカントリークラブ,36.20271,139.0444936
,,ヴィレッジ東軽井沢ゴルフクラブ,36.3569244,138.7207407
,,ＴＨＥ　ＲＡＹＳＵＭ,36.3474907,138.9037489
,,グリーンパークカントリークラブ,36.21452348,138.9869311
,,サンコー72カントリークラブ,36.2834666,138.9796931
,,富岡倶楽部,36.3018316,138.9141328
,,熱海倶楽部 東軽井沢ゴルフコース,36.347153,138.7595321
,,新玉村ゴルフ場,36.28314141,139.148928
,,上武カントリークラブ,36.1905672,139.0482331
,群馬（草津・嬬恋）,嬬恋高原ゴルフ場,36.5582344,138.5446424
,,妙義カントリークラブ,36.27925531,138.7911554
,,プレジデントカントリー倶楽部　軽井沢,36.4250205,138.6256063
,,軽井沢高原ゴルフ倶楽部,36.44060672,138.6290009
,,太平洋クラブ 軽井沢リゾート,36.42585387,138.6050372
,,プリンスランドゴルフクラブ,36.47509625,138.5449819
,,草津温泉ゴルフ場,36.6382569,138.5938828
,,草津カントリークラブ,36.57945667,138.5822964
,埼玉（秩父・長瀞・寄居）,平成倶楽部鉢形城コース,36.0967731,139.201781
,,長瀞カントリークラブ,36.122053,139.1416297
,,秩父国際カントリークラブ,36.0618541,139.1367417
,,寄居カントリークラブ,36.0890879,139.2407751
,,東都埼玉カントリー倶楽部,35.98724707,139.0224597
,,ユニオンエース　ゴルフクラブ,36.02882253,139.0268864
,,ザ　ナショナルカントリー倶楽部　埼玉,36.0532942,139.0838187
,,彩の森カントリークラブ,36.0298363,139.0532384
,,東都秩父カントリー倶楽部,36.041528,139.0734827
,埼玉（熊谷・深谷・本庄）,上里ゴルフ場,36.2738075,139.1408229
,,埼玉国際ゴルフ倶楽部,36.1427135,139.0552186
,,児玉カントリー倶楽部,36.1660205,139.133081
,,北武蔵カントリークラブ,36.1761066,139.1033763
,,大麻生ゴルフ場,36.1442826,139.324145
,,こだま神川カントリークラブ,36.1674198,139.0725082
,,熊谷ゴルフクラブ,36.1432899,139.3616155
,,岡部チサンカントリークラブ,36.19061994,139.2148104
,,こだまゴルフクラブ,36.19810815,139.1455035
,埼玉（飯能・東松山・入間）,オリムピックナショナルGC WEST,35.93231544,139.2870772
,,入間カントリー倶楽部,35.9696513,139.3128702
,,新武蔵丘ゴルフコース,35.878715,139.3250481
,,PGM武蔵ゴルフクラブ,35.9673003,139.3205376
,,日本カントリークラブ,35.9867168,139.2986202
,,武蔵松山カントリークラブ,36.0196323,139.3401793
,,高坂カントリークラブ,36.0074125,139.3734525
,,おおむらさきゴルフ倶楽部,36.06745038,139.3362471
,,鳩山カントリークラブ,35.9959977,139.3455989
,埼玉（川越・狭山・浦和・鴻巣）,大宮国際カントリークラブ,35.92415704,139.5428707
,,大宮カントリークラブ,35.8816448,139.5659836
,,ノーザンカントリー錦ヶ原,35.87672275,139.5682524
,,吉見ゴルフ場,36.0744505,139.4560839
,,リバーサイドフェニックスゴルフクラブ,35.9432015,139.5431253
,,西武園ゴルフ場,35.7693846,139.4253066
,,鴻巣カントリークラブ,36.0841941,139.5287829
,,浦和ゴルフ倶楽部,35.84305757,139.611662
,,埼玉スタジアム2002,35.93031713,139.7243934
,千葉（市原・勝浦・大多喜・一宮）,ムーンレイクゴルフクラブ市原コース,35.45683319,140.1048417
,,ABCいすみゴルフコース,35.2713799,140.2997409
,,千葉夷隅ゴルフクラブ,35.2511756,140.1809521
,,ゴルフ５カントリーオークビレッヂ,35.28918163,140.1735214
,,房総カントリークラブ 房総ゴルフ場,35.3210398,140.2694642
,,森永高滝カントリー倶楽部,35.3317701,140.1604148
,,真名カントリークラブゲーリー・プレーヤーコース,35.47110784,140.2567343
,,勝浦東急ゴルフコース,35.1532874,140.2800535
,,大千葉カントリー倶楽部,35.363319,140.2007752
,千葉（成田・芝山・富里・我孫子・香取）,成田の森カントリークラブ,35.7969928,140.5315997
,,多古カントリークラブ,35.7519551,140.4432864
,,成田フェアフィールドゴルフクラブ,35.8351718,140.287353
,,芝山ゴルフ倶楽部,35.7080708,140.4150516
,,オーク・ヒルズカントリークラブ,35.8038405,140.4881695
,,グレンオークスカントリークラブ,35.7941606,140.4757263
,,大栄カントリー倶楽部,35.8278343,140.4366858
,,成田ゴルフ倶楽部,35.8278945,140.370787
,,香取カントリークラブ,35.86972077,140.5511298
,千葉（木更津・館山・君津・鴨川）,ブリストヒルゴルフクラブ,35.27723104,139.8995386
